name,birthday,nationality
Leonardo DiCaprio,1974-11-11,Americana
Natalie Portman,1981-06-09,Israelense
Tom Hanks,1956-07-09,Americana
Emma Watson,1990-04-15,Britânica
Denzel Washington,1954-12-28,Americana
Penélope Cruz,1974-04-28,Espanhola
Hugh Jackman,1968-10-12,Australiana
Lupita Nyong'o,1983-03-01,Queniana
Keanu Reeves,1964-09-02,Canadense
Marion Cotillard,1975-09-30,Francesa
Benedict Cumberbatch,1976-07-19,Britânica
Viola Davis,1965-08-11,Americana
Gael García Bernal,1978-11-30,Mexicana
Daniel Brühl,1978-06-16,Alemã
Charlize Theron,1975-08-07,Sul-africana
Rachel Weisz,1970-03-07,Britânica
Idris Elba,1972-09-06,Britânica
Salma Hayek,1966-09-02,Mexicana
Mads Mikkelsen,1965-11-22,Dinamarquesa
Gemma Chan,1982-11-29,Britânica
Michael Fassbender,1977-04-02,Irlandesa
Tilda Swinton,1960-11-05,Britânica
Mahershala Ali,1974-02-16,Americana
Alicia Vikander,1988-10-03,Sueca
Dev Patel,1990-04-23,Britânica
Javier Bardem,1969-03-01,Espanhola
Kate Winslet,1975-10-05,Britânica
Wagner Moura,1976-06-27,Brasileira
Taika Waititi,1975-08-16,Neozelandesa
Ken Watanabe,1959-10-21,Japonesa
Monica Bellucci,1964-09-30,Italiana
Cillian Murphy,1976-05-25,Irlandesa
Ana de Armas,1988-04-30,Cubana
Song Kang-ho,1967-01-17,Coreana
Rosamund Pike,1979-01-27,Britânica
Pedro Pascal,1975-04-02,Chilena
Brendan Fraser,1968-12-03,Canadense
Léa Seydoux,1985-07-01,Francesa
Rami Malek,1981-05-12,Americana
Emily Blunt,1983-02-23,Britânica
Michael B. Jordan,1987-02-09,Americana
Gong Li,1965-12-31,Chinesa
Christopher Waltz,1956-10-04,Austríaca
Saoirse Ronan,1994-04-12,Irlandesa
Diego Luna,1979-12-29,Mexicana
Tahar Rahim,1981-07-04,Francesa
Florence Pugh,1996-01-03,Britânica
John Boyega,1992-03-17,Nigeriana
